date,meeting,motion_number,measure_type,measure_number,short_title,movant,motion_description,required_threshold,description,discussion,friendly,roll_call,Yvette Alexander,Marion Barry,Anita Bonds,Muriel Bowser,David Catania,Mary Cheh,Jack Evans,Jim Graham,David Grosso,Kenyan McDuffie,Phil Mendelson,Vincent Orange,Tommy Wells,passed
2013-10-01,Legislative Meeting,1,Bill,20-57,Community Renewables Energy Act of 2013,Kenyan McDuffie,Main,7,Main Motion,["Kenyan McDuffie"],N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,TRUE
2013-10-01,Legislative Meeting,2,Bill,20-57,Community Renewables Energy Act of 2013,Kenyan McDuffie,Amend,7,Amendment Number 001,["Kenyan McDuffie"],N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,TRUE
2013-10-01,Legislative Meeting,3,Bill,20-134,Elected Attorney General Implementation and Legal Services Amendment Act of 2013,Tommy Wells,Main,7,Main Motion,["Tommy Wells";"Phil Mendelson";"Tommy Wells";"David Catania";"Phil Mendelson";"Vincent Orange"],N,Y,N,Y,Y,Y,N,Y,Y,Y,N,N,N,Y,N,TRUE
2013-10-01,Legislative Meeting,4,Bill,20-134,Elected Attorney General Implementation and Legal Services Amendment Act of 2013,Tommy Wells,Amend,7,Amendment Number 002 ("Election Year for AG"),["Tommy Wells";"Mary Cheh";"David Catania";"Jack Evans";"Vincent Orange";"Tommy Wells";"David Catania";"Jim Graham";"David Grosso"],N,Y,Y,N,N,N,Y,N,N,N,Y,Y,Y,N,Y,FALSE
2013-10-01,Legislative Meeting,5,Bill,20-134,Elected Attorney General Implementation and Legal Services Amendment Act of 2013,Mary Cheh,Amend,7,Amendment Number 003 (Amendment to Wells amendment),["Mary Cheh";"Tommy Wells";"Vincent Orange";"David Grosso";"Mary Cheh";"Vincent Orange";"Marion Barry";"Mary Cheh";"Muriel Bowser"],N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,FALSE
2013-10-01,Legislative Meeting,6,Bill,20-134,Elected Attorney General Implementation and Legal Services Amendment Act of 2013,Jim Graham,Close Debate,9,Motion to Close Debate on Amendment 002,["Jim Graham"],N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,TRUE
2013-10-01,Legislative Meeting,7,Bill,20-134,Elected Attorney General Implementation and Legal Services Amendment Act of 2013,Tommy Wells,Amend,7,Amendment Number 004 ("Agency Counsel"),["Tommy Wells";"Jack Evans";"Muriel Bowser";"Phil Mendelson";"David Grosso"],N,Y,N,N,N,N,Y,N,N,N,Y,N,Y,N,Y,FALSE
2013-10-01,Legislative Meeting,8,Bill,20-134,Elected Attorney General Implementation and Legal Services Amendment Act of 2013,Tommy Wells,Amend,7,Amendment Number 005 ("Legal Counsel to supervise Agency Counsel"),["Tommy Wells";"Jack Evans";"Tommy Wells";"Phil Mendelson"],,,,,,,,,,,,,,,,WITHDRAWN
2013-10-01,Legislative Meeting,9,Bill,20-134,Elected Attorney General Implementation and Legal Services Amendment Act of 2013,Phil Mendelson,Amend,7,Amendment Number 006 ("Hatch Act"),["Phil Mendelson";"Muriel Bowser";"Kenyan McDuffie";"David Catania";"Mary Cheh";"Vincent Orange";"Yvette Alexander";"Marion Barry";"Phil Mendelson"],,,,,,,,,,,,,,,,WITHDRAWN
2013-10-01,Legislative Meeting,10,Bill,20-134,Elected Attorney General Implementation and Legal Services Amendment Act of 2013,Vincent Orange,Close Debate,9,Close Debate on Amendment 006,["Vincent Orange"],N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,TRUE
