date,meeting,motion_number,measure_type,measure_number,short_title,movant,motion_description,required_threshold,description,discussion,friendly,roll_call,Yvette Alexander,Marion Barry,Anita Bonds,Muriel Bowser,David Catania,Mary Cheh,Jack Evans,Jim Graham,David Grosso,Kenyan McDuffie,Phil Mendelson,Vincent Orange,Tommy Wells,passed
2013-12-17,Legislative Meeting,1,Resolution,20-551,Fiscal Year 2015 Budget Submission Requirements Resolution of 2013,Phil Mendelson,Main,7,Main Motion on PR20-551,["Phil Mendelson"],N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,TRUE
2013-12-17,Legislative Meeting,2,Resolution,20-551,Fiscal Year 2015 Budget Submission Requirements Resolution of 2013,Phil Mendelson,Amend,7,Amendment 001 (Mendelson ANS),["Phil Mendelson"],N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,TRUE
2013-12-17,Legislative Meeting,3,Resolution,20-580,Reprogramming No. 20-130 Disapproval Resolution of 2013,Phil Mendelson,Main,7,Main Motion on Reprogramming Disapprovals,["Phil Mendelson";"David Grosso";"Yvette Alexander";"Kenyan McDuffie";"Marion Barry";"Jim Graham"],N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,TRUE
2013-12-17,Legislative Meeting,4,Resolution,20-581,Reprogramming No. 20-132 Disapproval Resolution of 2013,Phil Mendelson,Main,7,Main Motion on Reprogramming Disapprovals,["Phil Mendelson";"David Grosso";"Yvette Alexander";"Kenyan McDuffie";"Marion Barry";"Jim Graham"],N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,TRUE
2013-12-17,Legislative Meeting,5,Resolution,20-582,Reprogramming No. 20-134 Disapproval Resolution of 2013,Phil Mendelson,Main,7,Main Motion on Reprogramming Disapprovals,["Phil Mendelson";"David Grosso";"Yvette Alexander";"Kenyan McDuffie";"Marion Barry";"Jim Graham"],N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,TRUE
2013-12-17,Legislative Meeting,6,Resolution,20-583,Reprogramming No. 20-135 Disapproval Resolution of 2013,Phil Mendelson,Main,7,Main Motion on Reprogramming Disapprovals,["Phil Mendelson";"David Grosso";"Yvette Alexander";"Kenyan McDuffie";"Marion Barry";"Jim Graham"],N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,TRUE
2013-12-17,Legislative Meeting,7,Resolution,20-584,Reprogramming No. 20-136 Disapproval Resolution of 2013,Phil Mendelson,Main,7,Main Motion on Reprogramming Disapprovals,["Phil Mendelson";"David Grosso";"Yvette Alexander";"Kenyan McDuffie";"Marion Barry";"Jim Graham"],N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,TRUE
2013-12-17,Legislative Meeting,8,Resolution,20-585,Reprogramming No. 20-137 Disapproval Resolution of 2013,Phil Mendelson,Main,7,Main Motion on Reprogramming Disapprovals,["Phil Mendelson";"David Grosso";"Yvette Alexander";"Kenyan McDuffie";"Marion Barry";"Jim Graham"],N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,TRUE
2013-12-17,Legislative Meeting,9,Resolution,20-586,Reprogramming No. 20-138 Disapproval Resolution of 2013,Phil Mendelson,Main,7,Main Motion on Reprogramming Disapprovals,["Phil Mendelson";"David Grosso";"Yvette Alexander";"Kenyan McDuffie";"Marion Barry";"Jim Graham"],N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,TRUE
2013-12-17,Legislative Meeting,10,Resolution,20-587,Reprogramming No. 20-139 Disapproval Resolution of 2013,Phil Mendelson,Main,7,Main Motion on Reprogramming Disapprovals,["Phil Mendelson";"David Grosso";"Yvette Alexander";"Kenyan McDuffie";"Marion Barry";"Jim Graham"],N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,TRUE
